n_layer1,n_layer2,batch_norm,drop_rate,train_rmse,eval_rmse,test_rmse,train_mape,eval_mape,test_mape
64,32,False,0.3,1673.05224609375,1645.976318359375,1654.41748046875,9.394140243530273,9.348691940307617,9.468801498413086
128,64,False,0.3,1489.3148193359375,1482.49462890625,1480.493896484375,8.32263469696045,8.379432678222656,8.489520072937012
256,128,False,0.3,1199.1495361328125,1220.5067138671875,1230.48583984375,6.9539289474487305,7.095833778381348,7.228140354156494
512,256,False,0.3,1180.2362060546875,1210.5782470703125,1205.9638671875,7.205607891082764,7.428929328918457,7.461028575897217
8,16,True,0.5,2045.7725830078125,2022.38427734375,2034.7725830078125,11.796058654785156,11.773914337158203,11.833537101745605
16,32,True,0.5,1539.553466796875,1570.349365234375,1561.3759765625,9.188840866088867,9.362242698669434,9.393796920776367
32,64,True,0.5,1598.816162109375,1602.47802734375,1584.830810546875,8.84813117980957,8.814596176147461,8.846315383911133
64,128,True,0.5,1419.233642578125,1444.512451171875,1407.3753662109375,7.854125022888184,7.91909122467041,7.978317737579346
128,256,True,0.5,1212.6031494140625,1236.507568359375,1246.7412109375,6.915445327758789,7.127683162689209,7.2375078201293945
256,512,True,0.5,1219.1904296875,1373.9366455078125,1289.4971923828125,6.6681904792785645,7.034326076507568,6.978692054748535
8,8,True,0.5,2690.840576171875,2681.149169921875,2672.632080078125,17.922780990600586,18.104185104370117,17.90367317199707
16,16,True,0.5,1873.01123046875,1857.419677734375,1876.082275390625,10.990503311157227,11.0562162399292,11.094034194946289
32,32,True,0.5,1457.583984375,1472.0040283203125,1434.472900390625,8.173859596252441,8.249469757080078,8.306876182556152
64,64,True,0.5,1387.369140625,1424.89794921875,1388.1514892578125,8.178285598754883,8.381294250488281,8.307116508483887
128,128,True,0.5,1323.9212646484375,1376.6669921875,1381.3809814453125,7.216167449951172,7.275728225708008,7.42271614074707
256,256,True,0.5,1116.0787353515625,1139.392822265625,1159.0692138671875,6.285873889923096,6.505772590637207,6.684746742248535
512,512,True,0.5,1068.2664794921875,1100.527099609375,1136.5035400390625,6.308443069458008,6.590330123901367,6.603997707366943
16,8,True,0.5,2099.822265625,2061.003173828125,2082.75537109375,12.338966369628906,12.269756317138672,12.407340049743652
