STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR,OPEN_DATE,CLOSE_DATE,geometry
SIXTH AVENUE MRT STATION,DT7,23985.5297,34777.1434,1.330786387,103.7972561,BLUE,2014-12-01,2099-12-01,POINT (103.7972561 1.330786386999999)
SOMERSET MRT STATION,NS23,28640.656000000003,31401.6698,1.300260055,103.83907370000001,RED,1986-12-01,2099-12-01,POINT (103.8390737 1.300260055)
STADIUM MRT STATION,CC6,32677.7526,31687.0547,1.30284063,103.8753395,YELLOW,2009-04-01,2099-12-01,POINT (103.8753395 1.302840629999996)
STEVENS MRT STATION,DT10,27188.23,33591.6608,1.320065557,103.8260263,BLUE,2014-12-01,2099-12-01,POINT (103.8260263 1.320065556999995)
TAI SENG MRT STATION,CC11,34107.1526,35291.0164,1.335433322,103.88818,YELLOW,2009-04-01,2099-12-01,POINT (103.88818 1.335433322000003)
TAMPINES EAST MRT STATION,DT33,41501.0749,37586.6178,1.3561914830000001,103.9546005,BLUE,2016-10-01,2099-12-01,POINT (103.9546005 1.356191482999986)
TAMPINES MRT STATION,DT32,40213.0284,37463.3697,1.355077429,103.94302979999999,BLUE,2016-10-01,2099-12-01,POINT (103.9430298 1.355077428999999)
TAMPINES MRT STATION,EW2,40445.4297,37266.9909,1.353301356,103.94511750000001,GREEN,1988-12-01,2099-12-01,POINT (103.9451175 1.353301355999992)
TAMPINES WEST MRT STATION,DT31,39698.5276,36406.0143,1.345515305,103.938408,BLUE,2016-10-01,2099-12-01,POINT (103.938408 1.345515304999994)
TAN KAH KEE MRT STATION,DT8,25106.8667,34234.9609,1.3258832090000001,103.8073292,BLUE,2014-12-01,2099-12-01,POINT (103.8073292 1.325883208999989)
TANAH MERAH MRT STATION,EW4,40578.8616,34379.4144,1.327187135,103.94631609999999,GREEN,1988-11-01,2099-12-01,POINT (103.9463161 1.327187134999993)
TANJONG PAGAR MRT STATION,EW15,29396.2311,28776.7576,1.276521247,103.8458611,GREEN,1986-12-01,2099-12-01,POINT (103.8458611 1.276521246999996)
TELOK AYER MRT STATION,DT18,29667.6216,29414.5867,1.282289536,103.84829909999999,BLUE,2012-12-01,2099-12-01,POINT (103.8482991 1.282289535999996)
TELOK BLANGAH MRT STATION,CC28,25376.8469,28138.9667,1.270753211,103.80975440000002,YELLOW,2010-10-01,2099-12-01,POINT (103.8097544 1.270753211)
TIONG BAHRU MRT STATION,EW17,27298.9575,29846.251,1.286193393,103.827021,GREEN,1987-03-01,2099-12-01,POINT (103.827021 1.286193392999996)
TOA PAYOH MRT STATION,NS19,29578.4408,34980.8638,1.332628987,103.84749790000001,RED,1986-11-01,2099-12-01,POINT (103.8474979 1.332628986999998)
TUAS CRESCENT MRT STATION,EW31,7495.531,33698.6818,1.321026553,103.6491245,GREEN,2016-06-01,2099-12-01,POINT (103.6491245 1.32102655299999)
TUAS LINK MRT STATION,EW33,6138.3115,35848.0658,1.3404637659999998,103.6369324,GREEN,2016-06-01,2099-12-01,POINT (103.6369324 1.340463765999989)
